Customer ID,Customer Name,Country/Region,City,State,Postal Code,Region,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Transaction_Count_TY,Transaction_Count_LY,Transaction_Count_Change,Transaction_Count_Change_Type,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
CG-12520,Claire Gute,United States,Henderson,Kentucky,42420,South,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691,777,11914,1.335,42,39,3,Increase,1.625,0.061
DV-13045,Darrin Van Huff,United States,Los Angeles,California,90036,West,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256,864,7392,1.541,33,6,27,Increase,3.714,0.105
SO-20335,Sean O'Donnell,United States,Fort Lauderdale,Florida,33311,South,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418,0,3418,2.594,20,17,3,Increase,2.333,0
BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313,2517,796,1.405,20,27,-7,Decrease,2.333,0.76
AA-10480,Andrew Allen,United States,Concord,North Carolina,28027,South,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716,0,4716,2.175,28,7,21,Increase,2.5,0
IM-15070,Irene Maddox,United States,Seattle,Washington,98103,West,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010,1247,2763,1.376,24,8,16,Increase,0.846,0.311
HP-14815,Harold Pawlan,United States,Fort Worth,Texas,76106,Central,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516,2264,32252,1.975,31,19,12,Increase,0.722,0.066
PK-19075,Pete Kriz,United States,Madison,Wisconsin,53711,Central,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081,1396,27685,2.204,36,6,30,Increase,0.714,0.048
AG-10270,Alejandro Grove,United States,West Jordan,Utah,84084,West,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352,2517,19835,3.355,24,31,-7,Decrease,1.182,0.113
ZD-21925,Zuschuss Donatelli,United States,San Francisco,California,94109,West,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656,1677,9979,1.524,32,36,-4,Decrease,0.882,0.144
